id,buggy_code,fixed_code,commit_message,commit_url,date
1,"x = [1, 2, 3]
print x
# Sample ID: 1","x = [1, 2, 3]
print(x)
# Sample ID: 1",Improved readability with proper indentation,https://github.com/open-source-repo/commit/a5ad1859d946471a49883d3d259a38c74f2d895e,2024-12-16
2,"list = [1, 2, 3, 4]
for i in list
    print(i)
# Sample ID: 2","lst = [1, 2, 3, 4]
for i in lst:
    print(i)
# Sample ID: 2",Corrected conditional operator mistake,https://github.com/open-source-repo/commit/f47ccc20fdc04bdc22ce11b0ba090eb90a90ce47,2024-01-03
3,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 3","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 3",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/e89f19aaab66666feb70ebf06ef7a5204a1161d2,2023-09-05
4,"def foo()
    print('Missing colon in function definition')
# Sample ID: 4","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 4",Added missing parentheses for print function,https://github.com/open-source-repo/commit/bd798e7ba99cf9451e1c3c9e8c29ad245eca0383,2024-09-15
5,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 5","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 5",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/d6634aa60d71dfaeacde2053caa539eb8d5293c0,2024-01-24
6,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 6","def greet(name):
    print('Hello, ' + name)
# Sample ID: 6",Resolved off-by-one error in loop,https://github.com/open-source-repo/commit/e6319ec34cbfac9ce8eb769b0022cf13812e8d3f,2024-02-14
7,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 7","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 7",Improved readability with proper indentation,https://github.com/open-source-repo/commit/5308ee27dbd27cc2de2a9a659e60cc0877f605cb,2024-03-09
8,"def greet(name):
    print('Hello, ' + name)
# Sample ID: 8","def greet(name):
    print('Hello, ' + name)
# Sample ID: 8",Improved readability with proper indentation,https://github.com/open-source-repo/commit/c3557c79fbdcc7e49c9825daaffd08df76191123,2024-06-08
9,"def factorial(n):
    if n == 1
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 9","def factorial(n):
    if n == 1:
        return 1
    else:
        return n * factorial(n-1)
# Sample ID: 9",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/590683f31446a715bb242638f1e51a502d96cb99,2025-06-30
10,"def foo()
    print('Missing colon in function definition')
# Sample ID: 10","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 10",Indentation fixed for proper code block,https://github.com/open-source-repo/commit/553299169d0273c89086fa9a4a824ac26b27be90,2023-08-17
11,"if (a > b):
    print('a is greater')
else
    print('b is greater')
# Sample ID: 11","if (a > b):
    print('a is greater')
else:
    print('b is greater')
# Sample ID: 11",Updated function definition to include colon,https://github.com/open-source-repo/commit/b8574ccedf8741f1e4c9b18af18613852127c726,2024-05-30
12,"while True
    do_something()
# Sample ID: 12","while True:
    do_something()
# Sample ID: 12",Updated function definition to include colon,https://github.com/open-source-repo/commit/b1f6eef9b99ded7397e6e783f0d2df9ad12d4d01,2024-09-14
13,"def add(a, b)
    return a + b
# Sample ID: 13","def add(a, b):
    return a + b
# Sample ID: 13",Fixed bug in recursive function call,https://github.com/open-source-repo/commit/a89da0af79772a659c14aeda2b0443a451e4471e,2024-04-16
14,"if x = 5:
    print('x is 5')
# Sample ID: 14","if x == 5:
    print('x is 5')
# Sample ID: 14",Refactored variable naming for clarity,https://github.com/open-source-repo/commit/279aa69de63cb06aed75e164538425b9ab234c67,2025-07-17
15,"def foo()
    print('Missing colon in function definition')
# Sample ID: 15","def foo():
    print('Fixed missing colon in function definition')
# Sample ID: 15",Added missing parentheses for print function,https://github.com/open-source-repo/commit/ca2ca5866e08b6146301c4399bcc8725a7d2f89a,2024-10-22
16,"while True
    do_something()
# Sample ID: 16","while True:
    do_something()
# Sample ID: 16",Minor syntax corrections,https://github.com/open-source-repo/commit/9b65b51910a6654825d55ba81c35720ab6f2621f,2024-05-25
