id,buggy_code,fixed_code,commit_message,commit_url,date
1,x = x + 1,"x = 0
x = x + 1",Исправлена неопределённая переменная (NameError),https://github.com/example/merged,2025-01-01
2,y += 2,"y = 0
y += 2",Исправлена неопределённая переменная (NameError),https://github.com/example/merged,2025-01-01
3,print z,"z = 10
print(z)",Исправлена неопределённая переменная (NameError),https://github.com/example/merged,2025-01-01
4,total = total + price,"total = 0
total = total + price",Исправлена неопределённая переменная (NameError),https://github.com/example/merged,2025-01-01
5,result = a + b,"a = 1
b = 2
result = a + b",Переменные не определены перед использованием,https://github.com/example/merged,2025-01-01
6,x = 5 / 0,x = 5 / 1,Исправлено деление на ноль (ZeroDivisionError),https://github.com/example/merged,2025-01-01
7,"lst = [1,2,3]
print(lst[5])","lst = [1,2,3]
if len(lst) > 5:
    print(lst[5])",Исправлен выход за пределы списка (IndexError),https://github.com/example/merged,2025-01-01
8,"my_dict = {'a':1}
print(my_dict['b'])","my_dict = {'a':1}
print(my_dict.get('b'))",Исправлен доступ к отсутствующему ключу (KeyError),https://github.com/example/merged,2025-01-01
9,x = '5' + 3,x = int('5') + 3,Исправлен тип данных для сложения (TypeError),https://github.com/example/merged,2025-01-01
10,"val = None
val.upper()","val = None
if val:
    val.upper()",Добавлена проверка None перед вызовом метода (AttributeError),https://github.com/example/merged,2025-01-01
11,"def func()
    pass","def func():
    pass",Пропущено двоеточие в объявлении функции (SyntaxError),https://github.com/example/merged,2025-01-01
12,"if x == 10
    print(x)","if x == 10:
    print(x)",Пропущено двоеточие в условии (SyntaxError),https://github.com/example/merged,2025-01-01
13,"for i in range(5)
    print(i)","for i in range(5):
    print(i)",Пропущено двоеточие в цикле (SyntaxError),https://github.com/example/merged,2025-01-01
14,"class MyClass
    pass","class MyClass:
    pass",Пропущено двоеточие в объявлении класса (SyntaxError),https://github.com/example/merged,2025-01-01
15,if x = 5:,if x == 5:,"Использовать '==' для сравнения, не '=' (SyntaxError)",https://github.com/example/merged,2025-01-01
16,while True print('Hi'),"while True:
    print('Hi')",Пропущен перенос строки или двоеточие (SyntaxError),https://github.com/example/merged,2025-01-01
17,"def greet(name):
print(f'Hello {name}')","def greet(name):
    print(f'Hello {name}')",Ошибка отступа (IndentationError),https://github.com/example/merged,2025-01-01
18,"x = [1,2,3]
 for i in x:
    print(i)","x = [1,2,3]
for i in x:
    print(i)",Исправлен лишний отступ (IndentationError),https://github.com/example/merged,2025-01-01
19,if a > 0 or a < 10: print('ok'),"if 0 < a < 10:
    print('ok')",Исправлена логическая ошибка в условии,https://github.com/example/merged,2025-01-01
20,"lst = [1,2,3]
for i in lst
    print(i)","lst = [1,2,3]
for i in lst:
    print(i)",Пропущено двоеточие в цикле (SyntaxError),https://github.com/example/merged,2025-01-01
21,"my_list = [1,2,3]
my_list.append(4)","my_list = []
my_list.append(4)","Исправлена переменная, возможно неопределена",https://github.com/example/merged,2025-01-01
22,"x = 10
y = x + z","z = 5
x = 10
y = x + z",Исправлена неопределённая переменная z,https://github.com/example/merged,2025-01-01
23,"dict = {'a':1}
dict['b'] = 2","my_dict = {'a':1}
my_dict['b'] = 2",Не использовать встроенное имя dict,https://github.com/example/merged,2025-01-01
24,"sum = 0
sum += value","total = 0
total += value",Не использовать встроенное имя sum,https://github.com/example/merged,2025-01-01
25,x=1+2,x = 1 + 2,Добавлены пробелы вокруг операторов,https://github.com/example/merged,2025-01-01
26,"l=[1,2,3]","l = [1, 2, 3]",Добавлены пробелы после запятых,https://github.com/example/merged,2025-01-01
27,if is_active = True:,if is_active:,Исправлено сравнение с True,https://github.com/example/merged,2025-01-01
28,if is_ready = False:,if not is_ready:,Исправлено сравнение с False,https://github.com/example/merged,2025-01-01
29,print 'Hello',print('Hello'),Использование функции print с скобками,https://github.com/example/merged,2025-01-01
30,"import os, sys","import os
import sys",Импорты на отдельных строках,https://github.com/example/merged,2025-01-01
31,"x = (1,2)","x = (1,2)",Закрыта круглая скобка,https://github.com/example/merged,2025-01-01
32,"y = [1,2]","y = [1,2]",Закрыта квадратная скобка,https://github.com/example/merged,2025-01-01
33,"d = {'a':1,'b':2}","d = {'a':1,'b':2}",Закрыта фигурная скобка,https://github.com/example/merged,2025-01-01
34,x = x+1,"x = 0
x = x+1",Исправлена неопределённая переменная (NameError),https://github.com/example/merged,2025-01-01
35,count = count,"count = 0
count = count",Исправлена неопределённая переменная (NameError),https://github.com/example/merged,2025-01-01
36,value = value+1,"value = 0
value = value+1",Исправлена неопределённая переменная (NameError),https://github.com/example/merged,2025-01-01
37,user_id = user_id+1,"user_id = 0
user_id = user_id+1",Исправлена неопределённая переменная (NameError),https://github.com/example/merged,2025-01-01
38,str = 'text',text_str = 'text',Не использовать встроенное имя str,https://github.com/example/merged,2025-01-01
39,elif data < 5,elif data < 5:,Пропущено двоеточие после elif,https://github.com/example/merged,2025-01-01
40,for user_id in range(len(data)),for user_id in range(len(data)): ,Пропущено двоеточие в цикле for,https://github.com/example/merged,2025-01-01
41,while user_id < 100,while user_id < 100:,Пропущено двоеточие в цикле while,https://github.com/example/merged,2025-01-01
42,print value,print(value),В Python 3 для print требуются скобки,https://github.com/example/merged,2025-01-01
43,print y,print(y),В Python 3 для print требуются скобки,https://github.com/example/merged,2025-01-01
44,import non_existing_module,import os  # пример существующего модуля,Модуль не найден (ModuleNotFoundError),https://github.com/example/merged,2025-01-01
45,"item = '10'
y = item + 5","item = '10'
y = int(item) + 5",Ошибка типов (TypeError),https://github.com/example/merged,2025-01-01
46,"y = '10'
y = y + 5","y = '10'
y = int(y) + 5",Ошибка типов (TypeError),https://github.com/example/merged,2025-01-01
47,"data = '10'
y = data + 5","data = '10'
y = int(data) + 5",Ошибка типов (TypeError),https://github.com/example/merged,2025-01-01
48,"x = [1,2]
x[2] = 5","x = [1,2]
if len(x) > 2:
    x[2] = 5",Индекс выходит за пределы списка (IndexError),https://github.com/example/merged,2025-01-01
49,"d = {'a':1}
print(d['b'])","d = {'a':1}
print(d.get('b'))",Исправлен доступ к отсутствующему ключу (KeyError),https://github.com/example/merged,2025-01-01
50,"val = None
val.strip()","val = None
if val:
    val.strip()",Попытка вызвать метод у None (AttributeError),https://github.com/example/merged,2025-01-01
51,invalid syntax,Syntax Corrected,"Синтаксическая ошибка. Проверьте конструкцию (if, for, def) и скобки.",https://github.com/example/repo/commit/dummy,2025-01-01
52,expected ':',:,"Пропущено двоеточие в конце строки (if, def, class, while).",https://github.com/example/repo/commit/dummy,2025-01-01
53,unexpected indent,pass,Ошибка отступа. Уберите лишние пробелы в начале строки.,https://github.com/example/repo/commit/dummy,2025-01-01
54,expected an indented block,    pass,Ожидается блок с отступом. Добавьте 4 пробела после двоеточия.,https://github.com/example/repo/commit/dummy,2025-01-01
55,name is not defined,var = 1,Переменная не объявлена. Проверьте опечатки в названии.,https://github.com/example/repo/commit/dummy,2025-01-01
56,list index out of range,if len(lst) > i:,Индекс выходит за пределы списка. Проверьте длину массива.,https://github.com/example/repo/commit/dummy,2025-01-01
57,unsupported operand type(s),str(a) + b,Ошибка типов. Нельзя складывать число и строку без преобразования.,https://github.com/example/repo/commit/dummy,2025-01-01
58,eol while scanning string literal,'text',Строка не закрыта. Добавьте кавычку в конце.,https://github.com/example/repo/commit/dummy,2025-01-01
59,module not found,pip install pkg,Модуль не найден. Установите его или проверьте имя импорта.,https://github.com/example/repo/commit/dummy,2025-01-01
60,def my_func(),def my_func():,Пропущено двоеточие в объявлении функции.,https://github.com/example/repo/commit/dummy,2025-01-01
61,if x == 10,if x == 10:,Пропущено двоеточие в условии if.,https://github.com/example/repo/commit/dummy,2025-01-01
62,while True,while True:,Пропущено двоеточие в цикле while.,https://github.com/example/repo/commit/dummy,2025-01-01
63,for i in items,for i in items:,Пропущено двоеточие в цикле for.,https://github.com/example/repo/commit/dummy,2025-01-01
64,class MyClass,class MyClass:,Пропущено двоеточие в объявлении класса.,https://github.com/example/repo/commit/dummy,2025-01-01
65,if x = y:,if x == y:,Синтаксическая ошибка: присваивание внутри условия.,https://github.com/example/repo/commit/dummy,2025-01-01
66,"x = (1, 2","x = (1, 2)",Не закрыта круглая скобка.,https://github.com/example/repo/commit/dummy,2025-01-01
67,"y = [1, 2","y = [1, 2]",Не закрыта квадратная скобка.,https://github.com/example/repo/commit/dummy,2025-01-01
68,d = {'a': 1,d = {'a': 1},Не закрыта фигурная скобка словаря.,https://github.com/example/repo/commit/dummy,2025-01-01
69,import pandas as,import pandas as pd,Ошибка импорта: не указан алиас после as.,https://github.com/example/repo/commit/dummy,2025-01-01
70,from math import,from math import sqrt,"Ошибка импорта: не указано, что импортировать.",https://github.com/example/repo/commit/dummy,2025-01-01
71,"def add_item(item, l=[])","def add_item(item, l=None)",Изменяемый аргумент по умолчанию. Используйте None.,https://github.com/example/repo/commit/dummy,2025-01-01
72,if x > 0 or x < 10:,if 0 < x < 10:,Логическая ошибка в условии (всегда True). Используйте 0 < x < 10.,https://github.com/example/repo/commit/dummy,2025-01-01
73,for i in list:,for i in my_list:,"Не используйте 'list' как имя переменной, это встроенный тип.",https://github.com/example/repo/commit/dummy,2025-01-01
74,sum = 0,total_sum = 0,Не перекрывайте встроенную функцию 'sum'.,https://github.com/example/repo/commit/dummy,2025-01-01
75,if x is 10:,if x == 10:,"Используйте '==' для сравнения чисел, 'is' — для проверки идентичности объектов.",https://github.com/example/repo/commit/dummy,2025-01-01
76,file = open('f.txt'),with open('f.txt') as f:,Используйте контекстный менеджер 'with' для работы с файлами.,https://github.com/example/repo/commit/dummy,2025-01-01
77,"try:
    pass
except:","try:
    pass
except Exception:",Не используйте 'bare except'. Указывайте конкретный тип исключения.,https://github.com/example/repo/commit/dummy,2025-01-01
78,if variable == True:,if variable:,Не сравнивайте с True напрямую. Используйте 'if variable:'.,https://github.com/example/repo/commit/dummy,2025-01-01
79,if variable == False:,if not variable:,Не сравнивайте с False напрямую. Используйте 'if not variable:'.,https://github.com/example/repo/commit/dummy,2025-01-01
80,def MyFunction():,def my_function():,Названия функций должны быть в snake_case (pep8).,https://github.com/example/repo/commit/dummy,2025-01-01
81,x=1,x = 1,Добавьте пробелы вокруг оператора присваивания.,https://github.com/example/repo/commit/dummy,2025-01-01
82,"def func( a, b ):","def func(a, b):",Лишние пробелы внутри скобок.,https://github.com/example/repo/commit/dummy,2025-01-01
83,"import sys, os","import sys
import os",Импорты должны быть на отдельных строках.,https://github.com/example/repo/commit/dummy,2025-01-01
84,"l = [1,2,3]","l = [1, 2, 3]",Добавьте пробелы после запятых.,https://github.com/example/repo/commit/dummy,2025-01-01
85,"def calculate_sum(a, b)","def calculate_sum(a, b):",Пропущено двоеточие в функции.,https://github.com/example/repo/commit/dummy,2025-01-01
86,def process_data(data),def process_data(data):,Пропущено двоеточие в функции.,https://github.com/example/repo/commit/dummy,2025-01-01
87,if count = 0:,if count == 0:,Используйте '==' для сравнения.,https://github.com/example/repo/commit/dummy,2025-01-01
88,if status = 'active':,if status == 'active':,Используйте '==' для сравнения.,https://github.com/example/repo/commit/dummy,2025-01-01
89,while running,while running:,Пропущено двоеточие в цикле.,https://github.com/example/repo/commit/dummy,2025-01-01
90,for item in collection,for item in collection:,Пропущено двоеточие в цикле.,https://github.com/example/repo/commit/dummy,2025-01-01
91,list = [],my_list = [],Переменная 'list' перекрывает встроенный тип.,https://github.com/example/repo/commit/dummy,2025-01-01
